Prueba,Scroll,Exito,Ruta_1_Reco,Ruta_2_Quizz,Tiempo
Test_1,no,si,si,no,120
Test_2,si,si,no,si,40
Test_3,no,si,si,no,25
Test_4,si,si,no,si,49
Test_5,si,si,si,no,70
Test_6,no,si,si,no,25
Test_7,no,si,si,no,18
Test_8,si,si,no,si,120
Test_9,si,si,no,si,50
Test_10,si,si,si,no,69
